message,label
"I hav almost reached. Call, i m unable to connect u.",ham
Why i come in between you people,ham
And you! Will expect you whenever you text! Hope all goes well tomo ,ham
No problem baby. Is this is a good time to talk? I called and left a message.,ham
Ball is moving a lot.will spin in last :)so very difficult to bat:),ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,spam
Ok can...,ham
Tiwary to rcb.battle between bang and kochi.,ham
What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,ham
"Gud gud..k, chikku tke care.. sleep well gud nyt",ham
Hey r Ì_ still online? I've finished the formatting...,ham
DO U WANT 2 MEET UP 2MORRO,ham
"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\""""",ham
"I can't right this second, gotta hit people up first",ham
"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",ham
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,spam
All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,ham
No need lar i go engin? Cos my sis at arts today...,ham
We confirm eating at esplanade?,ham
Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,ham
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam
 and  picking them up from various points,ham
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",spam
"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.""",ham
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,ham
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam
"What i mean was i left too early to check, cos i'm working a 9-6.",ham
"Don't worry, * is easy once have ingredients!",ham
Yes princess! I want to please you every night. Your wish is my command...,ham
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,spam
Love you aathi..love u lot..,ham
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",ham
"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",spam
K... Must book a not huh? so going for yoga basic on sunday?,ham
One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,ham
Somebody should go to andros and steal ice,ham
Yar but they say got some error.,ham
They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,ham
"Sorry, I'll call later",ham
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",spam
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam
Wat r u doing?,ham
:) ,ham
"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",ham
I'm going 2 orchard now laready me reaching soon. U reaching?,ham
As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,spam
What time you thinkin of goin?,ham
Fine am simply sitting.,ham
Gr8. So how do you handle the victoria island traffic. Plus when's the album due,ham
But you were together so you should be thinkin about him,ham
I am in tirupur.  call you da.,ham
They said Ì_ dun haf passport or smth like dat.. Or Ì_ juz send to my email account..  ,ham
Lol they were mad at first but then they woke up and gave in.,ham
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",spam
Super msg da:)nalla timing.,ham
"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",ham
I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,ham
Wen did you get so spiritual and deep. That's great,ham
http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueåÁC C RingtoneåÁ,spam
Yeah confirmed for you staying at  that weekend,ham
I've reached home finally...,ham
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,ham
"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",ham
I have no money 4 steve mate! !,ham
Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,spam
"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx",ham
"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",ham
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,spam
You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,spam
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam
Where are you ? You said you would be here when I woke ... :-(,ham
Hmmm.still we dont have opener?,ham
Hmmm.but you should give it on one day..,ham
Nobody names their penis a girls name this story doesn't add up at all,ham
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,spam
Blank is Blank. But wat is blank? Lol,ham
Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,ham
No one interested. May be some business plan.,ham
What you need. You have a person to give na.,ham
"K I'm ready,  &lt;#&gt; ?",ham
Hahaha..use your brain dear,ham
Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890å£1.50 per msg,spam
"Erm Û_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",ham
I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,ham
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,spam
I need details about that online job.,ham
Hi my email address has changed now it is ,ham
500 free text msgs. Just text ok to 80488 and we'll credit your account,spam
Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,spam
says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,ham
Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,ham
Hi good mornin.. Thanku wish u d same..,ham
"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam
"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",ham
Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,spam
Hi' Test on  &lt;#&gt; rd ....,ham
I sent your maga that money yesterday oh.,ham
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",spam
Poor girl can't go one day lmao,ham
Nope i'll come online now..,ham
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,spam
thanks for the temales it was wonderful. Thank. Have a great week.,ham
True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.,ham
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,spam
Then u go back urself lor...,ham
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",spam
Mm i am on the way to railway,ham
Hope you are having a good week. Just checking in,ham
But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,ham
Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,ham
Sorry da thangam.it's my mistake.,ham
Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,ham
Lol no. Just trying to make your day a little more interesting,ham
Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,ham
Jus finish watching tv... U?,ham
K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),ham
Yunny i'm walking in citylink now Ì_ faster come down... Me very hungry...,ham
So how's the weather over there?,ham
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",spam
Aight should I just plan to come up later tonight?,ham
what are your new years plans?,ham
"Haha, that was the first person I was gonna ask",ham
Are you up for the challenge? I know i am :),ham
Heehee that was so funny tho,ham
Thats cool. I want to please you...,ham
Yeah but which is worse for i,ham
Understand. his loss is my gain :) so do you work? School?,ham
"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",ham
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
I WILL CAL YOU SIR. In meeting,ham
Just do what ever is easier for you,ham
RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,spam
Hmmm:)how many players selected?,ham
No that just means you have a fat head,ham
"Aight, call me once you're close",ham
"No, but you told me you were going, before you got drunk!",ham
Wait.i will come out.. &lt;#&gt;  min:),ham
Ok i've sent u da latest version of da project.,ham
Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,ham
"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",spam
"Whatever, juliana. Do whatever you want.",ham
I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,ham
Same as kallis dismissial in 2nd test:-).,ham
"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",ham
Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,spam
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,spam
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham
Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,ham
Long time. You remember me today.,ham
S da..al r above  &lt;#&gt;,ham
Yup ok...,ham
"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",spam
Phony å£350 award - Todays Voda numbers ending XXXX are selected to receive a å£350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,spam
HMM yeah if your not too grooved out! And im looking forward to my pound special :),ham
:( but your not here....,ham
Never y lei... I v lazy... Got wat? Dat day Ì_ send me da url cant work one...,ham
"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",ham
Just haven't decided where yet eh ?,ham
You also didnt get na hi hi hi hi hi,ham
Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,spam
I am not at all happy with what you saying or doing,ham
I will reach before ten morning,ham
You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,spam
You have got tallent but you are wasting.,ham
Hey gals...U all wanna meet 4 dinner at nÌÂte? ,ham
A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,ham
At WHAT TIME should i come tomorrow,ham
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham
"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy \VALENTINES DAY\"" in advance""",ham
SMS. ac sun0819 posts HELLO:\You seem cool,spam
K.:)do it at evening da:)urgent:),ham
Sent me ur email id soon,ham
Jordan got voted out last nite!,ham
K k pa Had your lunch aha.,ham
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam
Cheers for the message Zogtorius. IåÕve been staring at my phone for an age deciding whether to text or not.,ham
Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,ham
I will reach ur home in  &lt;#&gt;  minutes,ham
"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn""",ham
Do you think i can move  &lt;#&gt;  in a week,ham
Its just the effect of irritation. Just ignore it,ham
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam
HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,ham
Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,spam
"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",ham
Please CALL 08712402779 immediately as there is an urgent message waiting for you,spam
Good morning. At the repair shop--the ONLY reason i'm up at this hour.,ham
Hmm ill have to think about it... ok you're forgiven! =D,ham
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",ham
Pls speak with me. I wont ask anything other then you friendship.,ham
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam
I not busy juz dun wan 2 go so early.. Hee.. ,ham
How come u got nothing to do?,ham
Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,spam
"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",ham
I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,ham
Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,ham
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,ham
"Easy mate, * guess the quick drink was bit ambitious.",ham
 &lt;#&gt;  in mca. But not conform.,ham
Pandy joined 4w technologies today.he got job..,ham
", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",ham
Whom you waited for yesterday,ham
"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",ham
Haven't left yet so probably gonna be here til dinner,ham
"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",ham
I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,ham
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",ham
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",ham
If u dun drive then how i go 2 sch.,ham
"ItÛ÷s å£6 to get in, is that ok?",ham
I love you both too :-),ham
"Jay wants to work out first, how's 4 sound?",ham
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",ham
Pls send me the correct name da.,ham
Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,spam
"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit""",ham
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
K k :-):-) then watch some films.,ham
 &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,ham
"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",ham
Yup but not studying surfing lor. I'm in e lazy mode today.,ham
CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA,spam
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",spam
Havent still waitin as usual... ÌÏ come back sch oredi?,ham
Have you bookedthe hut? And also your time off? How are you by the way?,ham
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam
Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam
Ok... I din get ur msg...,ham
Sday only joined.so training we started today:),ham
Old Orchard near univ. How about you?,ham
1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,ham
Yes. It's all innocent fun. O:-),ham
Its worse if if uses half way then stops. Its better for him to complete it.,ham
"Probably not, still going over some stuff here",ham
Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,ham
Haiyoh... Maybe your hamster was jealous of million,ham
We are both fine. Thanks,ham
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,ham
Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,spam
"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",ham
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
Shall call now dear having food,ham
Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,spam
Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,spam
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham
That's necessarily respectful,ham
"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",ham
I'm done. C Ì_ there.,ham
Hi neva worry bout da truth coz the truth will lead me 2 ur heart. ItåÕs the least a unique person like u deserve. Sleep tight or morning,ham
No messages on her phone. I'm holding it now,ham
I always chat with you. In fact i need money can you raise me?,ham
"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
But you dint in touch with me.,ham
It's ok i wun b angry. Msg u aft i come home tonight.,ham
K actually can you guys meet me at the sunoco on howard? It should be right on the way,ham
"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",ham
"Hiya, had a good day? Have you spoken to since the weekend?",ham
**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,spam
I've been trying to reach him without success,ham
Ya very nice. . .be ready on thursday,ham
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam
"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",ham
I wont. So wat's wit the guys,ham
Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,ham
Actually I decided I was too hungry so I haven't left yet :V,ham
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam
"Aight, tomorrow around  &lt;#&gt;  it is",ham
Just wanted to say holy shit you guys weren't kidding about this bud,ham
"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",ham
Ugh hopefully the asus ppl dont randomly do a reformat.,ham
I'm on da bus going home...,ham
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,ham
"Sorry, I'll call later",ham
Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP Arrow,spam
Hey mr whats the name of that bill brison book the one about language and words ,ham
I am 6 ft. We will be a good combination!,ham
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",ham
What Today-sunday..sunday is holiday..so no work..,ham
"Okay, good, no problem, and thanx!",ham
ÌÏ give me some time to walk there.,ham
I'm coming home 4 dinner.,ham
He says hi and to get your ass back to south tampa (preferably at a kegger),ham
I dont want to hear anything,ham
1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,ham
Try to do something dear. You read something for exams,ham
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",spam
"Sorry, I'll call later",ham
"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\""""",ham
U attend ur driving lesson how many times a wk n which day?,ham
No go. No openings for that room 'til after thanksgiving without an upcharge.,ham
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,spam
"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING""",ham
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,ham
HI ITS KATE CAN U GIVE ME A RING ASAP XXX,ham
IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,spam
I donno its in your genes or something,ham
Yar else i'll thk of all sorts of funny things.,ham
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam
THANX 4 PUTTIN DA FONE DOWN ON ME!!,ham
"What part of \don't initiate\"" don't you understand""",ham
Onum ela pa. Normal than.,ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,ham
